,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,xSensitivity,ySensitivity,xFracErr,yFracErr
19,3347620.0000000843,0.3900000000000003,0.389891647462909,-0.0005754569173188075,1.8263519877569307e-06,2.280633821659854e-06,1.9802837948154503e-06,1.4240575030801242e-06,1.2365150290468326e-06,-0.003963170400811023,1.0842837569594532
20,3347620.0000000843,0.4100000000000001,0.4099071960417326,-0.0005744119645979356,2.5672976983603997e-06,2.4758870280073847e-06,1.1319425466736081e-06,1.585161791784738e-06,7.247148416648857e-07,-0.00431029849759554,0.4409081764832031
21,3347620.0000000843,0.42999999999999977,0.4298584444584343,-0.0005762972589503798,5.026763295990673e-06,2.2166812158033447e-06,1.0363954370954966e-06,1.4533358026831289e-06,6.794980639209525e-07,-0.0038464198490907706,0.20617550023135595
22,3347620.0000000843,0.4499999999999996,0.45010661563149523,-0.0005745367070478708,7.530508895265059e-06,1.7530370067583594e-06,1.839982626410264e-06,1.1761122738952814e-06,1.2344440775251015e-06,-0.0030512184604634756,0.24433708956471528
23,3347620.0000000843,0.4699999999999999,0.47007103400916467,-0.0005761670632153568,8.965200293392249e-06,2.4859241670695332e-06,1.0742993602960275e-06,1.7043925283204336e-06,7.365581891528212e-07,-0.004314589163074664,0.1198299340939247
24,3347620.0000000843,0.4899999999999997,0.48982192919562817,-0.0005756851649292049,1.0641472036716408e-05,2.357835044723809e-06,9.961010240177282e-07,1.6501846029242543e-06,6.971440077919797e-07,-0.004095702283753941,0.09360556702877834
25,3347620.0000000843,0.5100000000000002,0.5099633495187619,-0.0005774216626951248,1.1638900818986751e-05,2.728002055321682e-06,7.373355806108803e-07,1.9481131400286008e-06,5.265440069579764e-07,-0.0047244539503223494,0.06335096346968189
26,3347620.0000000843,0.53,0.5298982910648887,-0.0005773949924962145,1.1387541451670568e-05,2.601572358936136e-06,6.456014030774347e-07,1.8937915268850257e-06,4.6995981591421253e-07,-0.004505706479526131,0.05669365998072605
27,3347620.0000000843,0.5500000000000004,0.5498944632344567,-0.0005781951045859011,1.1815928828170074e-05,2.41900706935039e-06,5.171884920892443e-07,1.7938115292390942e-06,3.8352045004507044e-07,-0.004183721117948351,0.043770447470555814
28,3347620.0000000843,0.5700000000000002,0.5697831291020374,-0.0005791753905022141,1.171047205719764e-05,2.433752443330226e-06,6.777125076779867e-07,1.8370932163394873e-06,5.115643761943294e-07,-0.004202099196963242,0.057872347448320184
29,3347620.0000000843,0.59,0.5899677637362223,-0.0005792895231667511,1.1244718520842272e-05,2.682727186992502e-06,5.87830478433252e-07,2.0605855573349696e-06,4.5150882277328254e-07,-0.004631064570833377,0.05227613989124747
30,3347620.0000000843,0.6099999999999995,0.6097156477584774,-0.0005803767156057232,1.1490657841305016e-05,2.249039524681504e-06,7.524493867562617e-07,1.7561465637891463e-06,5.875447676556018e-07,-0.003875137413695591,0.06548357780278354
31,3347620.0000000843,0.6299999999999993,0.6301493704555591,-0.0005801940744457689,1.0517821230195856e-05,2.097949097072991e-06,9.344732117958588e-07,1.6653928660992057e-06,7.418030411971863e-07,-0.0036159436807021157,0.08884665287075408
32,3347620.0000000843,0.6499999999999998,0.6498195933906293,-0.0005807426592129667,8.363830119443356e-06,2.6603298063326956e-06,2.071800465048608e-06,2.1445287919353166e-06,1.6701071189990947e-06,-0.004580909916171862,0.24770953444311394
33,3347620.0000000843,0.6700000000000003,0.6699864167815724,-0.0005822327729903377,7.693729814667774e-06,1.99603780281296e-06,2.100175358034033e-06,1.6338107944507303e-06,1.719050193017292e-06,-0.003428247078159726,0.272972330537282
34,3347620.0000000843,0.69,0.6898085081487388,-0.0005816597203728601,7.840074288013113e-06,1.7413005893629935e-06,1.3409545489296195e-06,1.4462321786564224e-06,1.1137259302755848e-06,-0.002993675732345316,0.17103850035959975
35,3347620.0000000843,0.7099999999999997,0.7099734420218905,-0.0005817365092842377,5.897584895832873e-06,1.9862494094344272e-06,1.4861324729874398e-06,1.673612198962878e-06,1.252214059449295e-06,-0.003414345460074849,0.25199000934052074
36,3347620.0000000843,0.7300000000000002,0.7304363435373811,-0.0005818510331032006,6.034896187897263e-06,2.4408946959247894e-06,1.0682766286377215e-06,2.0861245335486175e-06,9.130086960893722e-07,-0.004195050892849162,0.17701657085338213
37,3347620.0000000843,0.7499999999999999,0.7501778736715978,-0.0005818372925330904,5.558443987856335e-06,2.3222933596922986e-06,1.8454038675447666e-06,2.0114035192685963e-06,1.59835613281142e-06,-0.003991310611222509,0.33200008340040205
38,3347620.0000000843,0.7699999999999997,0.7699976397244442,-0.0005826088993237671,5.385042629005729e-06,2.1428476135698286e-06,1.6389884004204504e-06,1.88033826776792e-06,1.4382042802400499e-06,-0.0036780207375085193,0.3043594105629329
39,3347620.0000000843,0.7899999999999996,0.7898214341850254,-0.0005816398409607842,5.667538263071552e-06,1.8970549454494735e-06,9.615964207774295e-07,1.6859487454869825e-06,8.545889949910569e-07,-0.0032615629326832483,0.16966738928662958
40,3347620.0000000843,0.8099999999999998,0.809566976825366,-0.0005817381706239278,5.62749440067063e-06,1.3749664857405214e-06,1.1028430663314946e-06,1.2371390194177935e-06,9.922934150051251e-07,-0.002363548680785099,0.19597408505640956
41,3347620.0000000843,0.8299999999999996,0.8303251113959821,-0.000582298171909327,3.767824333455008e-06,2.669373059277155e-06,9.249795111745273e-07,2.4323908398720845e-06,8.428614660026337e-07,-0.004584203056184106,0.2454943302323074
42,3347620.0000000843,0.8500000000000001,0.849691301082853,-0.0005825535024808459,3.065557247482205e-06,2.534834146747057e-06,1.1037392977317715e-06,2.336577201732873e-06,1.0174125526304329e-06,-0.004351246942902728,0.36004524092260604
43,3347620.0000000843,0.8699999999999999,0.8699824431129778,-0.0005824001080765939,3.2227450180451597e-06,1.9885017272001773e-06,8.649248287840724e-07,1.8547322208944753e-06,8.067400327864867e-07,-0.0034143223870052256,0.2683814027920568
44,3347620.0000000843,0.8900000000000002,0.8899057113849231,-0.0005826303458945635,3.0671132458123045e-06,2.3762964549045394e-06,1.3218673805573911e-06,2.241674838484481e-06,1.2469811334747505e-06,-0.004078566232687387,0.43098095003900105
45,3347620.0000000843,0.91,0.9093420355025362,-0.0005809840064226889,2.774756881457922e-06,1.8537882938542528e-06,1.6333138422794606e-06,1.7677618984338773e-06,1.557518724300065e-06,-0.0031907733661527826,0.5886331351023731
46,3347620.0000000843,0.9299999999999998,0.9296463294372033,-0.0005819416498856516,3.4357920070478837e-06,1.808122808416897e-06,1.6285145661597748e-06,1.7433589033709983e-06,1.5701839249900093e-06,-0.0031070517272172964,0.4739852013216115
47,3347620.0000000843,0.9499999999999996,0.9493294007910398,-0.0005810025804665102,3.024524792368296e-06,1.948901800866407e-06,1.0450478593756058e-06,1.8988839447973646e-06,1.0182270860599507e-06,-0.0033543771859008884,0.3455246463882682
48,3347620.0000000843,0.9699999999999999,0.9698639860470392,-0.0005813066284465001,9.283215090207434e-07,2.2342014128815506e-06,2.0191675515906465e-06,2.200278923196836e-06,1.9885099796968917e-06,-0.003843412931402988,2.175073540761327
49,3347620.0000000843,0.9899999999999998,0.9896235294930624,-0.000582041160878471,3.459318854436843e-06,2.115112159354436e-06,1.5192796815417213e-06,2.104109844158315e-06,1.511376746534962e-06,-0.003633956327353397,0.4391846330074859
