queueT, pd.Timestamp.now #now, repeat, magnet.volts #Mv, magnet.motion_inst.phi.position #Mphi, magnet.motion_inst.x.position #Mx, magnet.motion_inst.y.position #My, magnet.field, magnet.phi, magnet.theta,hall.x_field #Bx,hall.y_field #By,hall.z_field #Bz,purpose



;from pymeasure.adapters import DAQmxAdapter
;from aparatus.drivers.custom_instruments1 import senis3AxHallProbe
;hall = senis3AxHallProbe(DAQmxAdapter('Dev1', ['ai0', 'ai2', 'ai4']))

;from aparatus.sagnac1 import  magnet

;from clerk import pd, np, time,  queueT, Counter, hysteresis, waitUntil
;repeat, chip, device, purpose= None, None, None, None #,define dummy variables

;def wrapUp():
;    magnet.field =0

;########################################################################################

;parameters = {
;   'purpose': "'XYscan'",
;   "magnet.volts": 5, 
;   "magnet.motion_inst.phi.position": [-90,0,90], #degrees
;   "magnet.motion_inst.x.position": 31.04499272827137 + np.linspace(-5, 5, 20), 
;   "magnet.motion_inst.y.position": 24.73 + np.linspace(-5, 5, 20),
;}

2026-05-04 21:25:43.342253,2026-05-04 21:26:31.358479,,4.99908447265625,-55.236,27.09761,28.68216,0.0,-55.249,0.0,-0.027786486816406247,-0.11795366821289062,0.0313394775390625,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:32.123463,,4.99908447265625,-56.19,27.09761,29.20464,0.0,-56.204,0.0,-0.024888323974609376,-0.11774458618164063,0.029043176269531252,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:32.897585,,4.9993896484375,-57.156,27.09945,29.72941,0.0,-57.168,0.0,-0.022319067382812502,-0.11769264526367187,0.03034168701171875,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:33.645587,,4.9993896484375,-58.092,27.62391,28.1386,0.0,-58.105,0.0,-0.025913818359375004,-0.11829220581054688,0.03905214233398438,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:34.394625,,4.9993896484375,-59.027,27.62391,26.26431,0.0,-59.039,0.0,-0.03168519897460938,-0.11818829956054688,0.048264282226562503,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:35.137711,,4.9993896484375,-59.956,27.62391,24.4032,0.0,-59.971,0.0,-0.03736351318359375,-0.11698351440429688,0.057733734130859374,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:35.900737,,4.99908447265625,-60.911,27.62391,22.49646,0.0,-60.923,0.0,-0.043133831787109375,-0.11489970703125002,0.06284709472656251,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:36.647861,,4.99908447265625,-61.847,27.62391,21.84059,0.0,-61.859,0.0,-0.042098065185546873,-0.116135400390625,0.05924038696289063,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:37.403097,,4.9993896484375,-62.786,27.62391,22.36307,0.0,-62.8,0.0,-0.03822212524414063,-0.11712822265625,0.055859313964843754,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:38.179454,,4.99908447265625,-63.76,27.62391,22.89195,0.0,-63.773,0.0,-0.034541210937500004,-0.11779906005859375,0.052644409179687504,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:38.934473,,4.99908447265625,-64.702,27.62391,23.41531,0.0,-64.714,0.0,-0.031222662353515625,-0.11817598876953127,0.04965721435546875,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:39.680608,,4.99908447265625,-65.634,27.62391,23.94203,0.0,-65.646,0.0,-0.028248828125,-0.11839788818359376,0.0468738037109375,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:40.457605,,4.99908447265625,-66.605,27.62391,24.46967,0.0,-66.616,0.0,-0.025454791259765627,-0.11845457153320314,0.044344287109375005,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:41.207660,,4.99908447265625,-67.545,27.62391,24.99519,0.0,-67.56,0.0,-0.022934942626953128,-0.11844654541015626,0.04195814819335938,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:41.976636,,4.99908447265625,-68.504,27.62391,25.52357,0.0,-68.517,0.0,-0.02060609130859375,-0.11837954711914063,0.039869238281250004,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:42.727632,,4.9993896484375,-69.445,27.62391,26.04771,0.0,-69.459,0.0,-0.018516351318359377,-0.11821372680664062,0.03792603149414063,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:43.505841,,4.99908447265625,-70.415,27.62391,26.57503,0.0,-70.428,0.0,-0.016542883300781252,-0.11811636352539064,0.03619933471679688,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:44.276843,,4.9993896484375,-71.378,27.62391,27.10158,0.0,-71.391,0.0,-0.014791888427734377,-0.11798455200195312,0.03462405395507813,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:45.023360,,4.9993896484375,-72.311,27.62391,27.62547,0.0,-72.323,0.0,-0.01318983154296875,-0.11783087158203126,0.033241876220703126,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:45.780358,,4.9993896484375,-73.259,27.62391,28.15328,0.0,-73.272,0.0,-0.01163165283203125,-0.11771881103515625,0.0320226318359375,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:46.530360,,4.998779296875,-74.194,27.62391,28.67905,0.0,-74.207,0.0,-0.01019915771484375,-0.11763609008789062,0.031023248291015628,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:47.305360,,4.99908447265625,-75.165,27.62391,29.20676,0.0,-75.176,0.0,-0.008836798095703124,-0.11756397094726563,0.030165679931640627,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:48.070629,,4.998779296875,-76.122,27.62883,29.72754,0.0,-76.135,0.0,-0.007523699951171876,-0.1172437255859375,0.028019140625,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:48.818593,,4.9993896484375,-77.055,28.15031,28.11251,0.0,-77.068,0.0,-0.008214794921875001,-0.11760833740234376,0.03202373657226563,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:49.573592,,4.9993896484375,-77.999,28.15031,26.22733,0.0,-78.011,0.0,-0.009562597656250001,-0.11800609130859374,0.03546348876953125,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:50.318813,,4.99908447265625,-78.929,28.15031,24.36922,0.0,-78.94,0.0,-0.010754547119140626,-0.11841444702148439,0.0383512939453125,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:51.079827,,4.998779296875,-79.882,28.15031,22.46047,0.0,-79.894,0.0,-0.011971826171875,-0.11879188842773439,0.039430615234375,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:51.845825,,4.9993896484375,-80.839,28.15031,21.83836,0.0,-80.853,0.0,-0.011190985107421876,-0.11858681640625,0.03805096435546876,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:52.617390,,4.998779296875,-81.801,28.15031,22.36491,0.0,-81.815,0.0,-0.009695739746093751,-0.11842373046875002,0.036831018066406256,XYscan
