#Procedure: <__main__.daedalusCenterCalibrationProcedure>
#Parameters:
#	stage X guess: 31 mm
#	stage Y guess: 30 mm
#	Calibration Name: Ysanity
#	Volts to magnet: 5 V
#	Queued Time: 2026-05-04 15:00:40
#	Scaling from Z field difference to mm: 0.2 mm/T
#	Field Tolerance: 0.005 T
#Data:
X,Y,Xfield,Yfield,Zfield,elapsed_time
31.0,29.63734490356447,-0.11734288940429688,-0.0757160888671875,0.01834683837890625,637.5155198574066
31.0,29.633676210937516,-0.11738511352539063,-0.07566259155273437,0.018335430908203127,638.6456980705261
31.0,29.630008839111344,-0.11736692504882813,-0.07562252197265626,0.01832691650390625,639.7774319648743
31.0,29.63367944335939,-0.11740870361328125,-0.0756181640625,0.018346765136718752,640.90980219841
31.0,29.63734536132814,-0.11736497192382814,-0.07564152832031251,0.018371099853515625,642.0488889217377
31.0,29.633677042236343,-0.11733924560546877,-0.07566132202148439,0.018340667724609374,643.1842954158783
31.0,29.630010723876968,-0.11739725952148437,-0.07563101806640626,0.018334674072265626,644.3110074996948
31.0,29.626344757080094,-0.11743360595703126,-0.07557689819335939,0.01833372802734375,645.4422698020935
31.0,29.63001196533205,-0.11742582397460938,-0.07556530151367188,0.01834420166015625,646.5843291282654
31.0,29.63367727783205,-0.1173836669921875,-0.07560630493164062,0.0183830810546875,647.7195665836334
31.0,29.630004406738298,-0.11739609985351562,-0.07559959106445313,0.01837628173828125,648.8415064811707
31.0,29.62633263427736,-0.1174282470703125,-0.07555942993164062,0.018360375976562503,649.9785103797913
31.0,29.622662214355486,-0.11745032348632814,-0.07551207885742188,0.018374151611328125,651.1059823036194
31.0,29.618991842041034,-0.11750140380859375,-0.07543893432617188,0.01829575805664063,652.2411303520203
31.0,29.615330432128925,-0.11755628051757812,-0.07540638427734375,0.018302227783203128,653.37153673172
31.0,29.611674201660175,-0.11760217285156249,-0.07535320434570314,0.018311505126953127,654.4958746433258
31.0,29.615338321533223,-0.11758098754882813,-0.07533677978515625,0.018321002197265627,655.6279301643372
31.0,29.618997424316426,-0.11754283447265626,-0.07537819213867188,0.0183041015625,656.7632150650024
31.0,29.61533466430666,-0.11756068115234375,-0.07536767578125,0.018318798828125,657.8953154087067
31.0,29.619003212890643,-0.11754061889648437,-0.07537495727539063,0.01832042236328125,659.0438868999481
31.0,29.622664185791034,-0.11750601196289064,-0.07541585693359376,0.018333685302734378,660.1761028766632
31.0,29.61899740234377,-0.11752677001953125,-0.07543006591796875,0.01834027099609375,661.3206660747528
31.0,29.622666815185568,-0.11752959594726563,-0.07543991088867188,0.018315606689453128,662.4553527832031
31.0,29.62633252685549,-0.11748865356445314,-0.0755029052734375,0.018322662353515626,663.5996053218842
31.0,29.622665241699238,-0.11749031372070314,-0.07552034301757814,0.0183534912109375,664.7176826000214
31.0,29.626333358154316,-0.11750148925781251,-0.07549415893554688,0.01832265625,665.8461089134216
31.0,29.629996744384783,-0.11745416870117187,-0.07553620605468751,0.018363098144531253,666.9827628135681
31.0,29.626322464599628,-0.11746054687500002,-0.07551008911132813,0.0183430419921875,668.1341979503632
