mag/B,mag/phi,mag/theta,mag/Bx,mag/By,mag/Bz,Time,ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaThetaK_DualSideband,DeltaX1_C-M,DeltaY1_C-M,DeltaX1_C+M,DeltaY1_C+M,TX1,TY1,TX2,TY2
0.0,0.0,90.0,0.0,0.0,0.0,190560999981056,0.011134074308833848,0.00020638613164864034,2.063256661973403e-05,0.003355585763975416,0.005031812348436244,0.00010399384558197092,-0.00019892667752617778,9.636786673310004e-07,3.6387928576243175e-06,-4.650462138452975e-06,2.8527225053022756e-07,5.006564771751247e-06,-9.165680354626186e-06,7.11283296467625e-08,1.8315453035423678e-06
0.009999999999999995,0.0,90.0,6.123233995736763e-19,0.0,0.009999999999999995,190561092435968,0.01146398587018922,0.00021364551407264854,1.9793156540995978e-05,0.003369706496209742,0.005058850661636809,-9.003189216796345e-05,0.00032126957048225486,-8.387806579416495e-07,5.308921839784352e-06,6.82498610618448e-06,-2.283031872086555e-06,-2.8480057038800873e-06,-9.540148689101982e-06,7.551304329759679e-07,-1.200027273975788e-06
0.01999999999999999,0.0,90.0,1.2246467991473526e-18,0.0,0.01999999999999999,190561183023104,0.011285698925591685,0.0002089108072871858,1.7651439771162934e-05,0.0033431326364233567,0.005024912679762929,0.00037728095891199453,0.00014477526576534746,3.49135151799263e-06,5.272787896905123e-07,-8.118558691515903e-07,2.8556061913928364e-06,1.3822856151971052e-05,-4.176747857024024e-06,4.399735017174449e-07,2.4640892504963355e-06
0.03,0.0,90.0,1.8369701987210296e-18,0.0,0.03,190561282015232,0.011657003351165601,0.00021592376326364345,1.4716513638609121e-05,0.0033459983518494343,0.005028108695591658,-0.0001335444520928258,0.0003492116312235883,-1.2366040899004806e-06,1.2200116803423474e-06,7.703911786243286e-06,1.4652134639379067e-06,2.058383011120833e-06,6.294380321053111e-06,-3.0198625755484034e-06,-1.377460433582271e-06
0.04000000000000001,0.0,90.0,2.4492935982947068e-18,0.0,0.04000000000000001,190561379139584,0.011518570291501004,0.0002144827428782732,2.258589750033362e-05,0.003363431255323805,0.0050545997819324605,-0.0005930421877582354,-3.091116491110043e-05,-5.520425253995443e-06,-2.253887829241074e-06,4.94494250107122e-06,2.1337490038173678e-07,-3.3422948041402847e-06,-3.093282813253358e-06,-3.535868616344962e-06,-1.5561737728873904e-06
0.04999999999999999,0.0,90.0,3.0616169978683824e-18,0.0,0.04999999999999999,190561475330048,0.01104740992855946,0.00020588293183839123,1.6840122199806926e-05,0.003375464487358684,0.005058934182040917,0.0005136985598253927,0.00038831230407263733,4.7859432846516945e-06,-3.3631722990728912e-06,2.449586690965731e-06,-4.236845616020392e-06,-7.096360390176974e-06,-1.7308969548656173e-06,1.581792822765433e-07,-3.450763967595453e-07
0.06,0.0,90.0,3.673940397442059e-18,0.0,0.06,190561570586624,-0.007612948031632479,-0.0001410864495843254,1.8382600882832428e-05,0.0033606553191338605,0.005031166744267837,0.00016017373176504838,-0.00015235913397798238,1.4840897837229983e-06,-5.754212644361917e-06,-4.307457032546102e-06,2.482013245843041e-06,1.2420764706261324e-05,4.271179511193919e-06,-1.0288332326076462e-06,-1.7308241094102273e-06
0.07,0.0,90.0,4.286263797015737e-18,0.0,0.07,190561670512640,-0.008329860259053039,-0.00015446367549412304,1.669956270468943e-05,0.0033572258480526335,0.0050340590011825805,3.982354713050732e-05,3.784115939934408e-05,3.6919721158627824e-07,-7.242219206218508e-06,3.3244046461796794e-07,1.822340134169126e-06,7.331787653791782e-06,-5.19983402660852e-07,3.5863540641871836e-06,-1.5033050751203055e-06
0.07999999999999999,0.0,90.0,4.898587196589412e-18,0.0,0.07999999999999999,190561767636992,-0.008107343516824933,-0.00015040428595674318,2.1410003992504393e-05,0.003354724763111789,0.0050363210568941585,0.0005354855925174694,0.0005785551092709084,4.9666249820610976e-06,-5.7564002215822914e-06,5.7655638923211375e-06,5.439382832828686e-06,-5.321030748029427e-06,5.704395222892945e-06,4.51840216432097e-07,-1.6532352113407379e-06
0.09,0.0,90.0,5.5109105961630896e-18,0.0,0.09,190561882505216,-0.008342367217466541,-0.00015504536508321464,1.7485808061105102e-05,0.0033604363031518375,0.005045439660822642,-0.0002909268642323128,-0.00012440252988065595,-2.703230090601243e-06,-3.285740776601295e-06,3.913867824372091e-07,8.267514319323026e-07,-9.065274866363319e-07,5.240996142975062e-07,1.3028594660612563e-06,2.430581734582174e-06
0.1,0.0,90.0,6.123233995736766e-18,0.0,0.1,190561998307328,-0.00838903065745533,-0.0001555856417431862,2.020264309185909e-05,0.003362080279103361,0.005034853211960509,-0.0002998191929749412,-0.00039493959154904675,-2.7800103623522837e-06,9.936236443626489e-08,-4.5439781129371795e-06,2.547415438105175e-06,5.0967023446855875e-06,6.445400098598429e-06,1.0428062578289316e-06,-9.752122629899429e-07
0.1,0.0,90.0,6.123233995736766e-18,0.0,0.1,190562046869504,-0.008515092166560519,-0.00015887010539107448,1.6381904537326857e-05,0.0033715340961573306,0.0050650143008127676,0.00011063221468914914,0.00024572183766810227,1.031959023077585e-06,-4.1635027497725565e-06,3.5521463979571526e-06,1.84991153677461e-07,3.531812961452093e-06,-1.0440261341592797e-06,1.524130387282693e-06,4.4620134474616923e-07
0.09,0.0,90.0,5.5109105961630896e-18,0.0,0.09,190562158002176,-0.008464378158482739,-0.00015810618860846352,1.6135913229457754e-05,0.0033747890651810854,0.005070866249570366,-0.000386977408585891,6.71331870903486e-05,-3.613831824206992e-06,5.450957746335373e-06,4.867693380901436e-06,-4.777423622725391e-06,-1.1424058853235633e-06,8.350957651694513e-06,-7.884971988015415e-07,1.0349080368361775e-06
0.07999999999999999,0.0,90.0,4.898587196589412e-18,0.0,0.07999999999999999,190562258862080,-0.008349174228409329,-0.00015618988779173465,1.8908363144045026e-05,0.0033898972609052586,0.005078539735808647,0.0003087190989289779,-9.895356270442178e-05,2.887370554537486e-06,-1.5407641222284816e-06,-4.738345140888272e-06,-8.743211811643085e-07,-2.479408713108725e-06,3.241155793813577e-06,-1.9284135431792463e-06,-1.0943921154546614e-06
0.07,0.0,90.0,4.286263797015737e-18,0.0,0.07,190562352250880,-0.008074070232586826,-0.0001501561460424968,1.635203234407574e-05,0.0033646009198529422,0.005048736124364207,-0.0006508659357868583,-5.676974116212167e-05,-6.051658125460821e-06,3.1554425962371e-06,4.9959843023447646e-06,9.307720000024857e-06,6.5020483986543924e-06,-7.857137549479278e-06,1.516468312253151e-06,9.62081077857469e-07
0.06,0.0,90.0,3.673940397442059e-18,0.0,0.06,190562442838016,-0.008626410298809723,-0.00016024553748277668,1.7364496307083645e-05,0.0033575319404760993,0.005042925748430805,-0.0009013459695888799,-0.00033315455901294667,-8.370940696655786e-06,1.9148603022350646e-06,2.182823923714721e-06,-5.503537489210524e-08,-2.884790631848056e-06,-3.2714878813114776e-06,2.026086503394624e-06,3.5860358245629406e-06
0.04999999999999999,0.0,90.0,3.0616169978683824e-18,0.0,0.04999999999999999,190562542764032,-0.008065014572609629,-0.0001491273432930114,1.7137581122720703e-05,0.0033486812651578567,0.005019775465020925,0.0004262195380433694,0.00025497704899187467,3.940195911201949e-06,-2.1631575586555094e-06,7.740859844623267e-07,4.46241729619686e-06,-2.0551054723792776e-06,-5.9502486348341625e-06,1.823086235886985e-06,3.1770572406435713e-06
0.04000000000000001,0.0,90.0,2.4492935982947068e-18,0.0,0.04000000000000001,190562634285056,-0.008204674384421457,-0.00015171381965523427,1.4041608293581995e-05,0.003342654961733849,0.005019895120878815,4.054139895264589e-06,-8.4687061414222e-05,3.74794789679537e-08,-1.9516103282959388e-06,-1.6032996130188468e-06,-3.680106327734266e-07,-2.891544355720822e-06,-1.2038903634909307e-06,5.447629308358811e-06,4.998172468539326e-07
0.03,0.0,90.0,1.8369701987210296e-18,0.0,0.03,190562730475520,-0.008241176250125336,-0.000152528876968728,2.0809198683862846e-05,0.003349329771716276,0.005024506054130432,0.0005134451845119799,-2.8411135548206543e-05,4.751028431021287e-06,-1.1931882261644067e-06,-5.276818201064322e-06,1.156952688172771e-06,1.023997307871739e-05,-5.39481027218914e-06,-2.9218079051467822e-06,2.4461108654183374e-06
0.01999999999999999,0.0,90.0,1.2246467991473526e-18,0.0,0.01999999999999999,190562822930432,-0.00851694146292998,-0.00015804582219937306,1.6511715165351617e-05,0.0033560976355797596,0.005037640651895282,-0.00019565076054702291,-0.00020884018993779822,-1.8151348524970758e-06,3.229780521485886e-07,-2.059862681868244e-06,-3.0736517577422803e-07,-7.249218660328587e-06,1.6209333827290916e-06,-1.7681339047202497e-06,2.4673843988349333e-06
0.009999999999999995,0.0,90.0,6.123233995736763e-19,0.0,0.009999999999999995,190562915385344,-0.008649361757996979,-0.00015989540383858268,1.5532215065115503e-05,0.0033441961587033562,0.00501855200686967,-0.00032990085931662024,-0.0005540263963123397,-3.049032448603044e-06,-3.1821145955474684e-06,-7.191889404332731e-06,1.3827069790512829e-06,1.4187086976177962e-05,2.0802833955170283e-06,-3.452020710060616e-07,4.695117891207673e-06
0.0,0.0,90.0,0.0,0.0,0.0,190563012509696,-0.008380931847593908,-0.00015592904405993256,1.8591136938260382e-05,0.003364291053353401,0.005050842957279944,-0.0006463309225554842,-0.0001365237275587644,-6.011999978382351e-06,-2.827685405800789e-06,3.4721844798858826e-06,5.588290736983006e-07,-3.4884103722532517e-06,-6.601850726546631e-06,1.5819885553368724e-06,1.7985214814519953e-06
-0.010000000000000009,0.0,90.0,-6.123233995736772e-19,-0.0,-0.010000000000000009,190563109634048,-0.008282012057033609,-0.00015376588941888028,1.058719592485949e-05,0.0033580908099273424,0.005040275307681611,0.00041920634526013145,3.906007528817718e-05,3.89118856507936e-06,-8.918588941683421e-07,-3.166055846879787e-06,-2.5664831735020523e-06,-4.115104512420032e-06,3.1288307620449304e-06,1.1584581098733015e-07,-6.670910625323563e-07
-0.020000000000000004,0.0,90.0,-1.2246467991473534e-18,-0.0,-0.020000000000000004,190563201155072,-0.008141947327993592,-0.00015171565097226046,1.3461923306308347e-05,0.003365684335185352,0.005058637292311133,0.0002774784282247084,0.0002274537668783181,2.5850142262051344e-06,-6.4261968433570355e-06,1.6529456537480982e-06,7.355157907875871e-07,5.694116412418047e-07,-2.7386359172208012e-06,-3.632256962790506e-06,1.286946598034873e-06
-0.03,0.0,90.0,-1.8369701987210296e-18,-0.0,-0.03,190563308552192,-0.007870468749338472,-0.00014597132353233572,1.8868090841487042e-05,0.0033601353048115074,0.005035016631293719,0.00019944740175368666,3.4045489221674254e-06,1.8493940790020857e-06,9.808352632033593e-06,-1.7862561031451203e-06,-1.2975941366809395e-06,-8.842356370972584e-07,3.241369389357555e-07,-8.089734862167996e-08,2.5064925267349746e-06
-0.04000000000000001,0.0,90.0,-2.4492935982947068e-18,-0.0,-0.04000000000000001,190563402874880,-0.007887929784345861,-0.00014587094823857873,1.739873438096525e-05,0.003345226462611803,0.005020414476291739,-0.00031394770474615967,-0.00027556705651464306,-2.902665933160561e-06,9.463843136962238e-07,-2.192954102622929e-06,2.255724929373674e-06,-9.987403442476964e-06,-4.9466523618550695e-06,-1.4137654683589057e-06,1.4521540098474425e-06
-0.05,0.0,90.0,-3.061616997868383e-18,-0.0,-0.05,190563502800896,-0.00809963573493148,-0.00014994300548817438,1.3718253662216753e-05,0.003344274911066489,0.0050256537838059,0.0005282949315251926,0.00044785808183691515,4.889553262587593e-06,8.205001023157218e-07,3.4006112441959977e-06,1.8664034974216048e-06,1.4409801504293604e-06,2.664886037994239e-06,5.807277710014571e-07,-4.573857192473771e-07
-0.060000000000000005,0.0,90.0,-3.67394039744206e-18,-0.0,-0.060000000000000005,190563604594688,-0.008066073664823127,-0.00014938500183568932,1.581521632623307e-05,0.003347124054037331,0.005027788148892899,0.0009577517806308196,0.0004597637734163564,8.868090335610878e-06,4.0048861561763715e-06,-3.5392882079306255e-07,7.073274713995355e-07,-4.096890488129816e-06,6.9423215168970495e-06,4.5612682309048955e-07,-3.261408477352725e-06
-0.07,0.0,90.0,-4.286263797015737e-18,-0.0,-0.07,190563712925696,0.011347014543412137,0.00021112429188642403,1.5669149698722387e-05,0.0033696823715385496,0.0050507033680442,5.645252952699059e-05,-0.0003107567397162982,5.250920460710608e-07,4.869458895554833e-06,-6.306086933465322e-06,-7.182072242570851e-06,1.37248337869453e-06,-4.901296247574292e-06,1.6989663213570886e-06,-4.35876571956113e-06
-0.08,0.0,90.0,-4.898587196589413e-18,-0.0,-0.08,190563816587264,0.011428810108249837,0.00021224671390679146,1.2709309683303418e-05,0.003358517256818371,0.0050412025521534305,0.00021132115921299133,9.535556003482438e-05,1.9619019652827867e-06,3.9721063108081754e-07,-1.9134324480552617e-07,2.508949809246128e-06,3.979123330748669e-06,3.83092590286453e-06,-7.312305358451289e-07,1.4663638144706822e-07
-0.09000000000000001,0.0,90.0,-5.51091059616309e-18,-0.0,-0.09000000000000001,190563925852160,0.01190371898961099,0.00022052137505152187,2.2066438825095417e-05,0.003355389053903672,0.00502870080659898,8.041181788321637e-05,7.19778215295111e-05,7.446905588387116e-07,-2.9936274759020095e-06,5.884767678010299e-07,-2.9027911816991386e-07,-1.8544792065908613e-06,-1.1215199404047417e-05,-3.2261529238847e-07,2.573755359799373e-07
-0.1,0.0,90.0,-6.123233995736766e-18,-0.0,-0.1,190564045389824,0.011786957903555533,0.00021880794961895788,1.7785101739648885e-05,0.00336268896329532,0.00503907401534358,7.98971335268299e-05,-8.253001013255782e-05,7.414504041537475e-07,-4.401735525457483e-06,-2.273217732128018e-06,2.2344354912186656e-06,-1.3640893145229048e-05,-6.973955321010833e-07,-3.2626159382837195e-06,2.9434265359903038e-06
